,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility,Mid,Maturity,Time to Maturity,Type,Spot,Moneyness,Fed Funds Rate (%)
0,SPY210416C00165000,2021-01-06 12:41PM EDT,165.0,210.2,222.48,223.7,0.0,-,1,1,0.00%,223.08999999999997,2021-04-16,0.06575342465753424,C,389.48,2.3604848484848486,0.08
1,SPY210416C00175000,2020-12-18 10:40AM EDT,175.0,195.7,199.35,200.23,0.0,-,-,2,0.00%,199.79,2021-04-16,0.06575342465753424,C,389.48,2.2256,0.08
2,SPY210416C00180000,2021-02-01 10:31AM EDT,180.0,194.0,204.46,205.21,0.0,-,1,1,0.00%,204.835,2021-04-16,0.06575342465753424,C,389.48,2.163777777777778,0.08
3,SPY210416C00200000,2021-03-18 3:27PM EDT,200.0,192.0,0.0,0.0,0.0,-,3,2,0.00%,0.0,2021-04-16,0.06575342465753424,C,389.48,1.9474,0.08
4,SPY210416C00210000,2021-02-26 4:53PM EDT,210.0,173.32,0.0,0.0,0.0,-,1,0,0.00%,0.0,2021-04-16,0.06575342465753424,C,389.48,1.8546666666666667,0.08
5,SPY210416C00220000,2021-02-12 4:28PM EDT,220.0,171.37,173.7,174.62,0.0,-,5,6,155.98%,174.16,2021-04-16,0.06575342465753424,C,389.48,1.7703636363636364,0.08
6,SPY210416C00225000,2021-01-11 11:11AM EDT,225.0,154.74,165.45,166.02,0.0,-,1,0,113.82%,165.735,2021-04-16,0.06575342465753424,C,389.48,1.7310222222222222,0.08
7,SPY210416C00230000,2021-03-19 9:38AM EDT,230.0,159.4,0.0,0.0,0.0,-,33,33,0.00%,0.0,2021-04-16,0.06575342465753424,C,389.48,1.6933913043478261,0.08
8,SPY210416C00240000,2021-03-11 1:03PM EDT,240.0,153.44,0.0,0.0,0.0,-,3,0,0.00%,0.0,2021-04-16,0.06575342465753424,C,389.48,1.6228333333333333,0.08
9,SPY210416C00245000,2020-10-29 10:32AM EDT,245.0,88.49,118.39,120.04,0.0,-,-,5,0.00%,119.215,2021-04-16,0.06575342465753424,C,389.48,1.5897142857142859,0.08
10,SPY210416C00250000,2021-03-19 12:05PM EDT,250.0,141.0,0.0,0.0,0.0,-,3,12,0.00%,0.0,2021-04-16,0.06575342465753424,C,389.48,1.55792,0.08
11,SPY210416C00255000,2021-03-15 10:33AM EDT,255.0,138.71,0.0,0.0,0.0,-,-,2,0.00%,0.0,2021-04-16,0.06575342465753424,C,389.48,1.527372549019608,0.08
12,SPY210416C00260000,2021-03-19 3:52PM EDT,260.0,130.7,0.0,0.0,0.0,-,10,12,0.00%,0.0,2021-04-16,0.06575342465753424,C,389.48,1.498,0.08
13,SPY210416C00265000,2021-02-05 4:47PM EDT,265.0,123.14,118.48,119.06,0.0,-,1,30,0.00%,118.77000000000001,2021-04-16,0.06575342465753424,C,389.48,1.469735849056604,0.08
14,SPY210416C00270000,2021-03-17 3:32PM EDT,270.0,127.45,0.0,0.0,0.0,-,1,3,0.00%,0.0,2021-04-16,0.06575342465753424,C,389.48,1.4425185185185185,0.08
15,SPY210416C00272000,2021-01-19 1:05AM EDT,272.0,100.0,117.89,118.71,0.0,-,-,0,73.14%,118.3,2021-04-16,0.06575342465753424,C,389.48,1.4319117647058823,0.08
16,SPY210416C00274000,2021-02-02 4:58PM EDT,274.0,108.9,101.93,102.93,0.0,-,-,2,0.00%,102.43,2021-04-16,0.06575342465753424,C,389.48,1.4214598540145986,0.08
17,SPY210416C00275000,2021-03-19 10:43AM EDT,275.0,114.16,0.0,0.0,0.0,-,12,12,0.00%,0.0,2021-04-16,0.06575342465753424,C,389.48,1.4162909090909093,0.08
18,SPY210416C00277000,2021-03-16 11:32AM EDT,277.0,120.69,0.0,0.0,0.0,-,1,0,0.00%,0.0,2021-04-16,0.06575342465753424,C,389.48,1.4060649819494586,0.08
19,SPY210416C00278000,2020-12-16 1:36PM EDT,278.0,93.15,97.83,98.61,0.0,-,-,76,0.00%,98.22,2021-04-16,0.06575342465753424,C,389.48,1.4010071942446043,0.08
20,SPY210416C00279000,2021-03-04 2:32PM EDT,279.0,97.04,0.0,0.0,0.0,-,1,0,0.00%,0.0,2021-04-16,0.06575342465753424,C,389.48,1.3959856630824374,0.08
21,SPY210416C00280000,2021-03-18 12:55PM EDT,280.0,114.85,0.0,0.0,0.0,-,3,0,0.00%,0.0,2021-04-16,0.06575342465753424,C,389.48,1.391,0.08
22,SPY210416C00281000,2021-03-15 11:41AM EDT,281.0,111.91,0.0,0.0,0.0,-,1,0,0.00%,0.0,2021-04-16,0.06575342465753424,C,389.48,1.386049822064057,0.08
